filename,train Accuracy,test Accuracy,validation Accuracy
audio_mfcc.txt.gz,0.32420814,0.306286672,0.304262134
audio_sai_boxes.txt.gz,0.295954418,0.296647108,0.289069557
text_description_unigrams.txt.gz,0.881906465,0.669845866,0.679963205
text_game_lda_1000.txt.gz,0.92289784,0.923392842,0.922230434
text_tag_unigrams.txt.gz,0.97117844,0.919015584,0.916457602
vision_cuboids_histogram.txt.gz,0.577542018,0.576110645,0.577400016
vision_hist_motion_estimate.txt.gz,0.225386485,0.224979044,0.224357395
vision_hog_features.txt.gz,0.358690547,0.35658005,0.360926337
vision_hs_hist_stream.txt.gz,0.338064411,0.327493713,0.332347869
vision_misc.txt.gz,0.404915555,0.396479464,0.393610906
